user_name;hour;timezone
micha"";"16";"-5"
ataulm"";"22";"0"
jeromeetienne"";"13";"1"
Tahnan"";"12";"None"
drogus"";"13";"1"
jnwhiteh"";"14";"None"
gmoledina"";"0";"-5"
mariusaeriksen"";"21";"-8"
mvanholstyn"";"23";"-5"
laverdet"";"11";"None"
clintjhill"";"10";"-7"
FagnerMartinsBrack"";"11";"None"
ztellman"";"14";"-8"
jodosha"";"15";"1"
joshaven"";"10";"-5"
cameronmcefee"";"9";"-8"
cburroughs"";"15";"-5"
cowtowncoder"";"20";"-8"
eddiemachado"";"15";"-8"
devongovett"";"21";"-8"
ripienaar"";"12";"0"
gibson042"";"9";"-5"
JangoSteve"";"12";"-5"
ryanve"";"16";"-5"
kevinclark"";"14";"None"
mrsweaters"";"10";"-8"
hassox"";"10";"None"
pauldix"";"14";"-5"
tkahn"";"17";"1"
abotalov"";"23";"2"
scanny"";"21";"-8"
chikamichi"";"19";"1"
detro"";"23";"0"
Pita"";"22";"0"
brycebaril"";"10";"-8"
JamieAppleseed"";"11";"1"
gauravmc"";"22";"-5"
miripiruni"";"16";"3"
alganet"";"12";"-3"
davidhurley"";"14";"None"
seancolyer"";"17";"None"
alfhenrik"";"18";"10"
phiggins42"";"18";"None"
jamesgolick"";"15";"-8"
roidrage"";"10";"1"
arthurnn"";"11";"-5"
nashby"";"21";"2"
purplecabbage"";"16";"-8"
gitster"";"15";"-8"
eleith"";"1";"-6"
dyve"";"7";"1"
67726e"";"8";"-5"
jpfuentes2"";"21";"-5"
jonatack"";"20";"1"
sschuberth"";"16";"1"
mostafaeweda"";"15";"2"
geekq"";"17";"1"
jsmestad"";"12";"-7"
winston"";"22";"8"
csfrancis"";"11";"-5"
vlidholt"";"16";"-8"
inolen"";"14";"-8"
chirag04"";"3";"None"
jeffbcross"";"10";"-8"
rayh"";"10";"10"
n8han"";"8";"-5"
MikeOrtiz"";"10";"None"
waruts"";"8";"None"
nevir"";"11";"-8"
tmpvar"";"15";"-7"
jbalogh"";"10";"-8"
mweibel"";"8";"1"
faceleg"";"22";"12"
kaepora"";"16";"-5"
raganwald"";"12";"-5"
bdarnell"";"19";"None"
JohnMcLear"";"18";"0"
trobrock"";"9";"-8"
laanwj"";"9";"1"
allending"";"10";"8"
packagethief"";"10";"-6"
kevinsawicki"";"9";"-8"
devn"";"13";"-6"
sergi"";"15";"1"
PsychoH13"";"23";"-8"
tombell"";"22";"0"
dnkoutso"";"16";"None"
tdreyno"";"9";"-8"
PragTob"";"17";"1"
erikstmartin"";"11";"-5"
iambus"";"5";"-6"
jcubic"";"19";"1"
denschub"";"0";"1"
brianleroux"";"12";"-6"
soffes"";"8";"-8"
gazay"";"8";"3"
fidothe"";"19";"1"
pepelsbey"";"12";"3"
Kami"";"23";"1"
mdordal"";"12";"-8"
steffentchr"";"12";"1"
qdot"";"17";"-8"
satyr"";"20";"9"
mbostock"";"9";"-8"
cemerick"";"8";"-5"
maxwell"";"13";"-8"
Cobus"";"1";"None"
qrush"";"20";"-5"
bryckbost"";"12";"-5"
rubnov"";"2";"None"
andrewplummer"";"0";"9"
betweenbrain"";"6";"None"
markrcote"";"9";"None"
brianchirls"";"14";"-5"
os97673"";"22";"3"
technomancy"";"9";"-8"
BigZaphod"";"11";"None"
tjw"";"22";"-8"
diox"";"16";"1"
trondn"";"11";"1"
trevnorris"";"16";"-8"
loganb"";"11";"-8"
dj2"";"9";"-5"
chirayuk"";"16";"-8"
loganj"";"9";"-8"
alvins82"";"0";"None"
ervandew"";"7";"-8"
blynn"";"22";"None"
pakerfeldt"";"5";"None"
greg0ire"";"10";"1"
kusma"";"23";"1"
caolan"";"16";"0"
majutsushi"";"17";"12"
headwinds"";"9";"-5"
jaydee3"";"12";"1"
lucasmazza"";"14";"-3"
tebriel"";"14";"-5"
HunterHillegas"";"10";"None"
stefankroes"";"9";"1"
catsby"";"14";"-6"
elabs-dev"";"9";"1"
samvermette"";"23";"-5"
harukizaemon"";"9";"10"
madler"";"23";"None"
issackelly"";"11";"-8"
apotonick"";"10";"10"
joshuarh"";"10";"None"
jonboulle"";"15";"-8"
addyosmani"";"13";"0"
squ1b3r"";"12";"5"
slackersoft"";"14";"-8"
robvdveer"";"3";"None"
swankjesse"";"11";"-5"
bl8"";"16";"1"
cadecairos"";"15";"-5"
vsizov"";"11";"2"
superjoe30"";"16";"-5"
imkira"";"23";"9"
jistr"";"17";"1"
marcuswestin"";"14";"-8"
posabsolute"";"9";"-5"
jamierumbelow"";"16";"0"
xk"";"17";"None"
Mottie"";"6";"None"
aaugustin"";"22";"1"
miekg"";"9";"0"
logicalparadox"";"11";"None"
Stereobit"";"23";"0"
romainneutron"";"17";"1"
joshaber"";"11";"-5"
benpickles"";"15";"0"
blommegard"";"20";"1"
jaredhanson"";"8";"-8"
hueniverse"";"0";"-8"
Aqua-Ye"";"12";"1"
kongo2002"";"22";"1"
mduan"";"12";"None"
mwrock"";"23";"-8"
gskinner"";"13";"None"
danicgross"";"14";"None"
hiremaga"";"19";"-8"
jeremyclark13"";"6";"None"
durhamka"";"14";"-7"
spadgos"";"10";"1"
shimonchayim"";"15";"None"
gruns"";"20";"None"
tonyarnold"";"10";"10"
ivanov"";"14";"None"
lucasallan"";"16";"-8"
kalessin"";"10";"None"
Randgalt"";"16";"-5"
thegoleffect"";"9";"-8"
petebacondarwin"";"21";"0"
buymeasoda"";"20";"-8"
gmaxwell"";"15";"None"
jankuca"";"0";"1"
hsbt"";"10";"9"
nixme"";"15";"-8"
teeparham"";"10";"-7"
jboyens"";"15";"-8"
c9s"";"20";"8"
ifandelse"";"16";"-5"
psmolenski"";"0";"None"
prb"";"2";"-8"
michelf"";"14";"-5"
ecoffey"";"9";"-7"
PaulGuo"";"20";"None"
tolgaek"";"8";"None"
scottmac"";"9";"-8"
steveklabnik"";"11";"-8"
paulbjensen"";"23";"0"
Haacked"";"9";"-8"
jezdez"";"17";"1"
agatronic"";"4";"None"
berkerpeksag"";"14";"2"
tgriesser"";"10";"-5"
fcambus"";"23";"1"
gka"";"9";"-5"
wch"";"20";"None"
ugol"";"22";"1"
lehni"";"23";"1"
mikesherov"";"11";"None"
norman"";"10";"-3"
damianh"";"12";"1"
shane42"";"15";"None"
biokys"";"19";"1"
catesandrew"";"9";"-8"
numan"";"15";"-8"
marchaefner"";"14";"1"
skamille"";"13";"-5"
kaishin"";"4";"None"
gravityonmars"";"14";"None"
rzwitserloot"";"23";"1"
cobyism"";"10";"0"
nateps"";"1";"-8"
rnicholus"";"20";"None"
kurtvarner"";"17";"None"
capitaomorte"";"11";"None"
xpaulbettsx"";"15";"None"
abraham"";"19";"-8"
ylechelle"";"12";"1"
MrZYX"";"20";"1"
tkf"";"12";"None"
mcmire"";"11";"-7"
eguven"";"9";"None"
kballard"";"12";"-8"
stuhood"";"12";"None"
caboteria"";"8";"-5"
joshk"";"14";"1"
mansilladev"";"11";"None"
lazyatom"";"16";"0"
dominictarr"";"23";"12"
AliSoftware"";"23";"1"
BYVoid"";"1";"8"
mjsarfatti"";"0";"1"
JCook21"";"21";"-5"
ahadrana"";"9";"None"
gcamp"";"11";"None"
AD7six"";"17";"1"
owenb"";"23";"0"
ObjColumnist"";"1";"None"
elvisimprsntr"";"7";"-5"
njonsson"";"9";"-6"
tobyzerner"";"19";"None"
segiddins"";"21";"-6"
ChrisWren"";"21";"-8"
markelog"";"9";"None"
robrighter"";"17";"-5"
radar"";"11";"10"
naomiblack"";"16";"None"
mantognini"";"10";"1"
mtodd"";"21";"-8"
Carreau"";"19";"1"
railsjedi"";"14";"-8"
remogloor"";"12";"1"
clang13"";"12";"None"
asenderzon"";"14";"None"
carhartl"";"20";"1"
demerphq"";"18";"1"
nmjesus"";"14";"0"
slang800"";"14";"None"
spastorino"";"16";"-3"
xdissent"";"15";"-6"
Nyx0uf"";"9";"1"
djcp"";"10";"-5"
robbiehanson"";"11";"-8"
martynsmith"";"15";"12"
lusis"";"9";"-5"
rupa"";"15";"-5"
weavejester"";"14";"0"
michaelfairley"";"23";"-6"
jeremeamia"";"13";"-8"
acslater00"";"11";"-5"
josephg"";"16";"-8"
dizzyd"";"8";"-6"
robocoder"";"10";"-5"
LeaVerou"";"22";"2"
pixelb"";"12";"0"
mikemaccana"";"12";"0"
cyco"";"4";"None"
dannycoates"";"11";"-8"
lannymcnie"";"15";"-7"
josephschmitt"";"11";"-8"
bouk"";"22";"1"
kryali"";"16";"-8"
scottjg"";"23";"-8"
ionelmc"";"21";"2"
brandonheller"";"11";"-8"
benatkin"";"21";"-7"
chester89"";"0";"3"
parndt"";"9";"12"
dcramer"";"11";"-8"
vbabiy"";"10";"-5"
takluyver"";"18";"0"
jswartwood"";"23";"-5"
mathiasbynens"";"10";"1"
ayoung"";"23";"-8"
troelskn"";"12";"1"
ipeychev"";"3";"None"
wycats"";"22";"-8"
stephencelis"";"10";"-8"
wwilsman"";"12";"None"
gpjt"";"20";"0"
artm"";"11";"1"
jbdeboer"";"11";"-8"
russross"";"13";"-7"
mrclay"";"22";"-5"
oakho"";"14";"1"
netflixgithub"";"14";"None"
madrobby"";"9";"-5"
andrew"";"20";"0"
basdewachter"";"6";"None"
plasticboy"";"9";"-5"
ICSharpCodeBuildServer"";"12";"None"
rspeer"";"17";"-5"
atesgoral"";"16";"-5"
fred-wang"";"14";"1"
vlasovskikh"";"17";"3"
pilot"";"23";"2"
gilbitron"";"15";"0"
msmathers"";"18";"-6"
AArnott"";"7";"-8"
